date,river_discharge,river_discharge_mean,river_discharge_median,river_discharge_min,river_discharge_max,river_discharge_p25,river_discharge_p75,latitude,longitude
2023-12-31,0.4927944,0.4927942,0.4927944,0.4927944,0.4927944,0.4927944,0.4927944,-30.02499771118164,-51.22499084472656
2024-01-01,0.29717922,0.29717922,0.29717922,0.29717922,0.29717922,0.29717922,0.29717922,-30.02499771118164,-51.22499084472656
2024-01-02,0.686553,1.080146,0.81972015,0.23310483,4.3703184,0.50671446,1.3831736,-30.02499771118164,-51.22499084472656
2024-01-03,0.46217716,0.9873234,0.7620181,0.38356638,3.4565625,0.56135213,1.2416635,-30.02499771118164,-51.22499084472656
2024-01-04,0.5848932,0.7640317,0.5381547,0.36772883,6.6032624,0.43468112,0.72589296,-30.02499771118164,-51.22499084472656
2024-01-05,0.3273945,0.34263963,0.3273945,0.25892544,0.64058983,0.3273945,0.33659554,-30.02499771118164,-51.22499084472656
2024-01-06,0.17219532,0.17219539,0.17219532,0.17219532,0.17219532,0.17219532,0.17219532,-30.02499771118164,-51.22499084472656
2024-01-07,0.20226443,0.6585409,0.26629484,0.14024973,3.2072663,0.14024973,0.9176804,-30.02499771118164,-51.22499084472656
2024-01-08,1.741574,1.233746,1.1777617,0.1561122,5.441693,0.560544,1.6699362,-30.02499771118164,-51.22499084472656
2024-01-09,0.686553,0.7768505,0.686553,0.686553,1.4043629,0.686553,0.77736336,-30.02499771118164,-51.22499084472656
2024-01-10,0.10917485,0.20011486,0.10917485,0.10917485,3.0457587,0.10917485,0.10917485,-30.02499771118164,-51.22499084472656
2024-01-11,0.5170504,1.9991513,1.5562534,0.23310483,6.6559663,1.0464447,3.0926065,-30.02499771118164,-51.22499084472656
2024-01-12,0.28233063,0.283204,0.28233063,0.28233063,0.29717922,0.28233063,0.28233063,-30.02499771118164,-51.22499084472656
2024-01-13,0.40604758,0.40604773,0.40604758,0.40604758,0.40604758,0.40604758,0.40604758,-30.02499771118164,-51.22499084472656
2024-01-14,0.4996848,0.82884383,0.60887873,0.23310483,2.4040818,0.31219995,1.143165,-30.02499771118164,-51.22499084472656
2024-01-15,0.8113401,1.2530377,0.83457226,0.28233063,7.2413816,0.31984067,1.8560157,-30.02499771118164,-51.22499084472656
2024-01-16,0.4859357,0.5326264,0.4859357,0.4859357,1.5644841,0.4859357,0.4859357,-30.02499771118164,-51.22499084472656
2024-01-17,10.2719755,11.0863695,10.117435,4.260173,24.118862,8.573152,13.1367855,-30.02499771118164,-51.22499084472656
2024-01-18,3.2953644,3.7912836,3.4412231,2.2960973,7.6099377,2.928728,4.261693,-30.02499771118164,-51.22499084472656
2024-01-19,0.92309177,1.2142708,1.0535372,0.686553,3.1591063,0.8880064,1.4789486,-30.02499771118164,-51.22499084472656
2024-01-20,2.2658782,3.1652997,2.9492455,0.9054607,10.994993,2.1388276,4.003227,-30.02499771118164,-51.22499084472656
2024-01-21,0.8281002,0.83795255,0.8281002,0.8281002,0.9678863,0.8281002,0.8281002,-30.02499771118164,-51.22499084472656
2024-01-22,0.3273945,0.3399404,0.3273945,0.3273945,0.4689263,0.3273945,0.34276497,-30.02499771118164,-51.22499084472656
2024-01-23,0.23310483,0.23777275,0.23310483,0.23310483,0.35831344,0.23310483,0.23310483,-30.02499771118164,-51.22499084472656
2024-01-24,0.17219532,0.25414088,0.18850219,0.17219532,1.0941124,0.17219532,0.25025904,-30.02499771118164,-51.22499084472656
2024-01-25,0.14024973,0.14269064,0.14024973,0.14024973,0.2647363,0.14024973,0.14024973,-30.02499771118164,-51.22499084472656
2024-01-26,0.18850219,0.21645632,0.18850219,0.18850219,0.6710906,0.18850219,0.20644572,-30.02499771118164,-51.22499084472656
2024-01-27,0.20226443,0.28161258,0.20226443,0.14024973,1.1877615,0.1561122,0.29717922,-30.02499771118164,-51.22499084472656
2024-01-28,0.7823787,0.90156555,0.7823787,0.1561122,2.7670379,0.5232369,1.1953702,-30.02499771118164,-51.22499084472656
2024-01-29,0.7823787,0.5597066,0.5170504,0.35831344,1.3768401,0.44878334,0.6710906,-30.02499771118164,-51.22499084472656
2024-01-30,0.37404191,0.50654846,0.37404191,0.37404191,1.7989812,0.37404191,0.48937297,-30.02499771118164,-51.22499084472656
2024-01-31,0.17219532,0.17219539,0.17219532,0.17219532,0.17219532,0.17219532,0.17219532,-30.02499771118164,-51.22499084472656
2024-02-01,0.12460494,0.12460503,0.12460494,0.12460494,0.12460494,0.12460494,0.12460494,-30.02499771118164,-51.22499084472656
2024-02-02,0.09395635,0.09395641,0.09395635,0.09395635,0.09395635,0.09395635,0.09395635,-30.02499771118164,-51.22499084472656
2024-02-03,0.07894671,0.07894666,0.07894671,0.07894671,0.07894671,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-02-04,0.98609495,0.28503668,0.18034875,0.07894671,1.2803421,0.09020394,0.45631528,-30.02499771118164,-51.22499084472656
2024-02-05,0.59220874,0.8101221,0.6711615,0.43879855,2.4040818,0.4996848,0.92561924,-30.02499771118164,-51.22499084472656
2024-02-06,0.25025904,0.25025913,0.25025904,0.25025904,0.25025904,0.25025904,0.25025904,-30.02499771118164,-51.22499084472656
2024-02-07,0.12460494,0.12460503,0.12460494,0.12460494,0.12460494,0.12460494,0.12460494,-30.02499771118164,-51.22499084472656
2024-02-08,0.09395635,0.09395641,0.09395635,0.09395635,0.09395635,0.09395635,0.09395635,-30.02499771118164,-51.22499084472656
2024-02-09,0.07894671,0.07894666,0.07894671,0.07894671,0.07894671,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-02-10,0.07894671,0.20193572,0.07894671,0.07894671,2.2210689,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-02-11,0.07894671,0.095733486,0.07894671,0.07894671,0.61064565,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-02-12,0.10917485,0.48617852,0.18850219,0.10917485,3.0926065,0.10917485,0.60484666,-30.02499771118164,-51.22499084472656
2024-02-13,3.518559,3.966679,3.6087499,1.2181964,8.484184,2.8460398,5.244646,-30.02499771118164,-51.22499084472656
2024-02-14,1.0796967,1.1424257,1.0796967,1.0796967,1.5644841,1.0796967,1.1466041,-30.02499771118164,-51.22499084472656
2024-02-15,0.5310875,0.5310877,0.5310875,0.5310875,0.5310875,0.5310875,0.5310875,-30.02499771118164,-51.22499084472656
2024-02-16,3.7533522,4.9227986,4.780976,1.5292981,8.527961,3.9777255,5.843058,-30.02499771118164,-51.22499084472656
2024-02-17,1.3280914,1.299071,1.2724931,1.1086283,1.9376497,1.1086283,1.408664,-30.02499771118164,-51.22499084472656
2024-02-18,0.8749945,0.6188754,0.5776112,0.5310875,1.1577444,0.5310875,0.65960014,-30.02499771118164,-51.22499084472656
2024-02-19,0.5310875,0.6194611,0.4689263,0.42232883,1.844461,0.42232883,0.633104,-30.02499771118164,-51.22499084472656
2024-02-20,0.25025904,0.27095136,0.25025904,0.25025904,0.43879855,0.25025904,0.28604278,-30.02499771118164,-51.22499084472656
2024-02-21,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,-30.02499771118164,-51.22499084472656
2024-02-22,0.12460494,0.12460503,0.12460494,0.12460494,0.12460494,0.12460494,0.12460494,-30.02499771118164,-51.22499084472656
2024-02-23,0.09395635,0.09395641,0.09395635,0.09395635,0.09395635,0.09395635,0.09395635,-30.02499771118164,-51.22499084472656
2024-02-24,0.07894671,0.08219632,0.07894671,0.07894671,0.10917485,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-02-25,0.07894671,0.08286883,0.07894671,0.07894671,0.18850219,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-02-26,0.936422,1.065188,0.8113401,0.061695576,3.6881337,0.36238006,1.7753184,-30.02499771118164,-51.22499084472656
2024-02-27,3.4360867,4.368046,4.0350595,1.7989812,7.491805,3.4208703,5.426928,-30.02499771118164,-51.22499084472656
2024-02-28,1.2490547,1.2642012,1.1577444,1.0606298,4.0118723,1.0796967,1.3001275,-30.02499771118164,-51.22499084472656
2024-02-29,0.7823787,0.7472148,0.6943558,0.4689263,1.4547088,0.4689263,0.9543395,-30.02499771118164,-51.22499084472656
2024-03-01,0.40604758,0.39650384,0.37404191,0.34276497,0.5776112,0.34276497,0.4421268,-30.02499771118164,-51.22499084472656
2024-03-02,0.17219532,0.17219539,0.17219532,0.17219532,0.17219532,0.17219532,0.17219532,-30.02499771118164,-51.22499084472656
2024-03-03,0.1561122,0.47082016,0.21062702,0.10917485,2.2210689,0.10917485,0.753188,-30.02499771118164,-51.22499084472656
2024-03-04,0.12460494,0.18727143,0.12460494,0.12460494,0.5310875,0.12460494,0.19612405,-30.02499771118164,-51.22499084472656
2024-03-05,0.07894671,0.07894666,0.07894671,0.07894671,0.07894671,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-03-06,0.061695576,0.061695576,0.061695576,0.061695576,0.061695576,0.061695576,0.061695576,-30.02499771118164,-51.22499084472656
2024-03-07,0.061695576,0.061695576,0.061695576,0.061695576,0.061695576,0.061695576,0.061695576,-30.02499771118164,-51.22499084472656
2024-03-08,1.9241524,2.0451782,1.6546056,0.061695576,6.925013,0.7660378,2.9986095,-30.02499771118164,-51.22499084472656
2024-03-09,0.733804,0.85699487,0.6710906,0.6710906,1.7669415,0.6710906,0.95228195,-30.02499771118164,-51.22499084472656
2024-03-10,0.4521116,0.45343426,0.4521116,0.4521116,0.4859357,0.4521116,0.4521116,-30.02499771118164,-51.22499084472656
2024-03-11,0.21898961,0.21898946,0.21898961,0.21898961,0.21898961,0.21898961,0.21898961,-30.02499771118164,-51.22499084472656
2024-03-12,0.14024973,0.14024973,0.14024973,0.14024973,0.14024973,0.14024973,0.14024973,-30.02499771118164,-51.22499084472656
2024-03-13,0.10917485,0.10917477,0.10917485,0.10917485,0.10917485,0.10917485,0.10917485,-30.02499771118164,-51.22499084472656
2024-03-14,0.07894671,0.07894666,0.07894671,0.07894671,0.07894671,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-03-15,0.4521116,0.69659954,0.38995266,0.07894671,3.666594,0.23310483,0.89234364,-30.02499771118164,-51.22499084472656
2024-03-16,0.43879855,1.2428021,0.8450154,0.23310483,4.7016425,0.65570164,1.3711549,-30.02499771118164,-51.22499084472656
2024-03-17,0.23310483,0.37155464,0.28095776,0.23310483,1.0606298,0.23310483,0.46056762,-30.02499771118164,-51.22499084472656
2024-03-18,0.29717922,0.29717922,0.29717922,0.29717922,0.29717922,0.29717922,0.29717922,-30.02499771118164,-51.22499084472656
2024-03-19,0.17219532,0.25027898,0.17219532,0.17219532,0.9678863,0.17219532,0.24101269,-30.02499771118164,-51.22499084472656
2024-03-20,0.10917485,0.11132801,0.10917485,0.10917485,0.21898961,0.10917485,0.10917485,-30.02499771118164,-51.22499084472656
2024-03-21,3.9888449,5.295401,5.04664,1.8906798,9.964781,4.224128,5.9705586,-30.02499771118164,-51.22499084472656
2024-03-22,1.1232445,1.1848263,1.1232445,1.1232445,1.5003455,1.1232445,1.2220404,-30.02499771118164,-51.22499084472656
2024-03-23,0.54525447,0.5452543,0.54525447,0.54525447,0.54525447,0.54525447,0.54525447,-30.02499771118164,-51.22499084472656
2024-03-24,0.28233063,0.28233054,0.28233063,0.28233063,0.28233063,0.28233063,0.28233063,-30.02499771118164,-51.22499084472656
2024-03-25,0.17219532,0.17219539,0.17219532,0.17219532,0.17219532,0.17219532,0.17219532,-30.02499771118164,-51.22499084472656
2024-03-26,0.12460494,0.13109837,0.12460494,0.12460494,0.17219532,0.12460494,0.12851614,-30.02499771118164,-51.22499084472656
2024-03-27,0.09395635,0.09395641,0.09395635,0.09395635,0.09395635,0.09395635,0.09395635,-30.02499771118164,-51.22499084472656
2024-03-28,0.07894671,0.09052347,0.07894671,0.07894671,0.29717922,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-03-29,1.2029264,1.2977452,1.0455654,0.061695576,4.597576,0.46193993,1.8233232,-30.02499771118164,-51.22499084472656
2024-03-30,0.4859357,0.49450707,0.4859357,0.4859357,0.92309177,0.4859357,0.4859357,-30.02499771118164,-51.22499084472656
2024-03-31,0.10917485,0.11009512,0.10917485,0.10917485,0.1561122,0.10917485,0.10917485,-30.02499771118164,-51.22499084472656
2024-04-01,0.09395635,0.20120929,0.09395635,0.09395635,1.3120646,0.09395635,0.09395635,-30.02499771118164,-51.22499084472656
2024-04-02,0.07894671,0.23399727,0.14818096,0.07894671,1.0137241,0.07894671,0.28979796,-30.02499771118164,-51.22499084472656
2024-04-03,0.07894671,0.07894666,0.07894671,0.07894671,0.07894671,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-04-04,0.07894671,0.29593077,0.07894671,0.07894671,3.2461958,0.07894671,0.25025904,-30.02499771118164,-51.22499084472656
2024-04-05,0.09395635,0.38775718,0.116889894,0.07894671,2.7325017,0.07894671,0.34303403,-30.02499771118164,-51.22499084472656
2024-04-06,0.10917485,0.10917477,0.10917485,0.10917485,0.10917485,0.10917485,0.10917485,-30.02499771118164,-51.22499084472656
2024-04-07,8.099133,5.9923744,5.966431,1.1577444,9.739895,5.1995926,7.332052,-30.02499771118164,-51.22499084472656
2024-04-08,1.8248801,1.9267662,1.8248801,1.8248801,3.3551188,1.8248801,1.899048,-30.02499771118164,-51.22499084472656
2024-04-09,0.54525447,0.5516713,0.4996848,0.4859357,0.9678863,0.4859357,0.5776112,-30.02499771118164,-51.22499084472656
2024-04-10,0.3273945,0.41668084,0.33507973,0.29717922,0.89234364,0.29717922,0.4996848,-30.02499771118164,-51.22499084472656
2024-04-11,0.4689263,0.6786822,0.59220874,0.18850219,2.1695673,0.38597497,0.83232903,-30.02499771118164,-51.22499084472656
2024-04-12,0.25025904,0.39007437,0.27353346,0.25025904,1.2803421,0.25025904,0.48937297,-30.02499771118164,-51.22499084472656
2024-04-13,1.0464447,1.0371693,0.9077177,0.3273945,3.7533522,0.62182295,1.3201057,-30.02499771118164,-51.22499084472656
2024-04-14,1.7352688,2.1353514,1.725854,0.8578044,11.331047,1.3523815,2.4159207,-30.02499771118164,-51.22499084472656
2024-04-15,0.6710906,0.79626614,0.6710906,0.6710906,1.7478943,0.6710906,0.789619,-30.02499771118164,-51.22499084472656
2024-04-16,2.7931497,3.9847825,3.6558733,1.1086283,8.527961,2.8837557,4.7676644,-30.02499771118164,-51.22499084472656
2024-04-17,0.92309177,0.9622039,0.92309177,0.92309177,1.6853445,0.92309177,0.92309177,-30.02499771118164,-51.22499084472656
2024-04-18,0.4521116,0.45211166,0.4521116,0.4521116,0.4521116,0.4521116,0.4521116,-30.02499771118164,-51.22499084472656
2024-04-19,0.25025904,0.25025913,0.25025904,0.25025904,0.25025904,0.25025904,0.25025904,-30.02499771118164,-51.22499084472656
2024-04-20,0.17219532,0.17219539,0.17219532,0.17219532,0.17219532,0.17219532,0.17219532,-30.02499771118164,-51.22499084472656
2024-04-21,0.12460494,0.12460503,0.12460494,0.12460494,0.12460494,0.12460494,0.12460494,-30.02499771118164,-51.22499084472656
2024-04-22,2.250873,0.9147952,0.6711615,0.10917485,5.251727,0.21136776,1.4044396,-30.02499771118164,-51.22499084472656
2024-04-23,1.6424086,1.5291256,1.4547088,0.7823787,2.74973,1.0464447,1.975095,-30.02499771118164,-51.22499084472656
2024-04-24,0.43879855,0.48119804,0.43879855,0.37404191,1.032357,0.37404191,0.54525447,-30.02499771118164,-51.22499084472656
2024-04-25,0.12460494,0.12832636,0.12460494,0.12460494,0.21898961,0.12460494,0.12460494,-30.02499771118164,-51.22499084472656
2024-04-26,1.4210291,1.817905,1.3442287,0.07894671,7.147043,0.47261044,2.6707993,-30.02499771118164,-51.22499084472656
2024-04-27,2.2809527,3.9598157,3.8752851,1.1232445,8.099133,2.9039817,4.8854036,-30.02499771118164,-51.22499084472656
2024-04-28,0.8450154,1.1843013,0.98609495,0.8450154,2.5156045,0.8749945,1.4408581,-30.02499771118164,-51.22499084472656
2024-04-29,1.5644841,3.9181907,3.8752851,0.9543395,9.864257,2.0214703,5.582429,-30.02499771118164,-51.22499084472656
2024-04-30,1.2335722,1.8889735,1.8907105,0.7498467,3.920395,1.2764176,2.3653576,-30.02499771118164,-51.22499084472656
2024-05-01,3.528976,6.5521355,5.9024715,2.2809527,11.647364,5.033502,8.248165,-30.02499771118164,-51.22499084472656
2024-05-02,12.243415,13.510085,13.7231655,7.531001,20.928047,10.899866,16.031599,-30.02499771118164,-51.22499084472656
2024-05-03,5.966265,6.0267572,5.629833,3.2854853,11.473834,4.63017,6.9762516,-30.02499771118164,-51.22499084472656
2024-05-04,2.9174187,3.712543,3.487454,2.1405087,7.147043,2.9309804,4.413783,-30.02499771118164,-51.22499084472656
2024-05-05,10.721953,7.9763308,7.649679,2.810658,15.032455,5.8548827,10.034702,-30.02499771118164,-51.22499084472656
2024-05-06,3.2657952,3.265794,3.2657952,3.2657952,3.2657952,3.2657952,3.2657952,-30.02499771118164,-51.22499084472656
2024-05-07,0.89234364,0.8923442,0.89234364,0.89234364,0.89234364,0.89234364,0.89234364,-30.02499771118164,-51.22499084472656
2024-05-08,0.7988709,1.1698376,0.97507304,0.65576994,3.168694,0.76199,1.4703126,-30.02499771118164,-51.22499084472656
2024-05-09,0.59220874,0.5941089,0.59220874,0.59220874,0.65576994,0.59220874,0.59220874,-30.02499771118164,-51.22499084472656
2024-05-10,6.177943,4.657081,4.539879,1.4547088,9.471285,3.304567,5.8312607,-30.02499771118164,-51.22499084472656
2024-05-11,7.5901356,6.4701524,6.0068583,3.0926065,12.677289,4.987588,7.720104,-30.02499771118164,-51.22499084472656
2024-05-12,7.147043,7.80125,7.0543184,3.6238103,17.365385,5.8548827,9.876966,-30.02499771118164,-51.22499084472656
2024-05-13,2.7325017,2.8584442,2.8547938,2.0760968,3.9888449,2.479372,3.1138668,-30.02499771118164,-51.22499084472656
2024-05-14,1.8906798,1.890679,1.8906798,1.8906798,1.8906798,1.8906798,1.8906798,-30.02499771118164,-51.22499084472656
2024-05-15,1.1727014,1.1727018,1.1727014,1.1727014,1.1727014,1.1727014,1.1727014,-30.02499771118164,-51.22499084472656
2024-05-16,2.2658782,2.4249845,2.4199393,1.3442287,4.8748937,1.8993343,2.8326652,-30.02499771118164,-51.22499084472656
2024-05-17,3.6989408,2.5447185,2.5399828,1.3120646,4.48277,1.9394127,3.1092315,-30.02499771118164,-51.22499084472656
2024-05-18,1.4210291,1.4496689,1.4210291,1.4210291,1.7989812,1.4210291,1.4210291,-30.02499771118164,-51.22499084472656
2024-05-19,0.7988709,0.97655696,0.8450154,0.6710906,2.3419504,0.733804,1.0726295,-30.02499771118164,-51.22499084472656
2024-05-20,0.5776112,0.5951597,0.5776112,0.5776112,0.7498467,0.5776112,0.596818,-30.02499771118164,-51.22499084472656
2024-05-21,0.43879855,0.5076627,0.43879855,0.43879855,2.311311,0.43879855,0.43879855,-30.02499771118164,-51.22499084472656
2024-05-22,0.35831344,0.37336308,0.35831344,0.35831344,1.0137241,0.35831344,0.35831344,-30.02499771118164,-51.22499084472656
2024-05-23,5.8233867,7.8660135,7.671089,3.6881337,14.135611,6.405757,8.727783,-30.02499771118164,-51.22499084472656
2024-05-24,4.3088446,3.9448042,3.655861,2.4514372,6.961594,3.1495736,4.633158,-30.02499771118164,-51.22499084472656
2024-05-25,1.5468302,1.5541422,1.5468302,1.5468302,1.7478943,1.5468302,1.5468302,-30.02499771118164,-51.22499084472656
2024-05-26,0.98609495,0.9932634,0.98609495,0.98609495,1.1428907,0.98609495,0.98609495,-30.02499771118164,-51.22499084472656
2024-05-27,4.0350065,5.113314,5.1045303,1.5763211,7.51138,4.1227226,6.103966,-30.02499771118164,-51.22499084472656
2024-05-28,1.6424086,1.8671988,1.844461,1.5763211,2.2960973,1.7305615,1.975095,-30.02499771118164,-51.22499084472656
2024-05-29,0.9543395,0.9747165,0.9543395,0.9543395,1.2029264,0.9543395,0.98953664,-30.02499771118164,-51.22499084472656
2024-05-30,0.686553,0.6865535,0.686553,0.686553,0.686553,0.686553,0.686553,-30.02499771118164,-51.22499084472656
2024-05-31,0.5310875,0.5310877,0.5310875,0.5310875,0.5310875,0.5310875,0.5310875,-30.02499771118164,-51.22499084472656
2024-06-01,0.42232883,0.42232892,0.42232883,0.42232883,0.42232883,0.42232883,0.42232883,-30.02499771118164,-51.22499084472656
2024-06-02,0.34276497,0.34276494,0.34276497,0.34276497,0.34276497,0.34276497,0.34276497,-30.02499771118164,-51.22499084472656
2024-06-03,0.56314766,0.7647263,0.7179084,0.40604758,1.3604782,0.64058983,0.8664392,-30.02499771118164,-51.22499084472656
2024-06-04,0.40604758,0.40604773,0.40604758,0.40604758,0.40604758,0.40604758,0.40604758,-30.02499771118164,-51.22499084472656
2024-06-05,0.31219995,0.37713164,0.31219995,0.31219995,2.4514372,0.31219995,0.31219995,-30.02499771118164,-51.22499084472656
2024-06-06,0.25025904,0.25268623,0.25025904,0.25025904,0.37404191,0.25025904,0.25025904,-30.02499771118164,-51.22499084472656
2024-06-07,0.23310483,0.23310472,0.23310483,0.23310483,0.23310483,0.23310483,0.23310483,-30.02499771118164,-51.22499084472656
2024-06-08,0.18850219,0.18850227,0.18850219,0.18850219,0.18850219,0.18850219,0.18850219,-30.02499771118164,-51.22499084472656
2024-06-09,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,-30.02499771118164,-51.22499084472656
2024-06-10,0.14024973,0.14024973,0.14024973,0.14024973,0.14024973,0.14024973,0.14024973,-30.02499771118164,-51.22499084472656
2024-06-11,0.10917485,0.19553718,0.10917485,0.10917485,2.7153523,0.10917485,0.10917485,-30.02499771118164,-51.22499084472656
2024-06-12,0.09395635,0.09395641,0.09395635,0.09395635,0.09395635,0.09395635,0.09395635,-30.02499771118164,-51.22499084472656
2024-06-13,0.07894671,0.07894666,0.07894671,0.07894671,0.07894671,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-06-14,0.07894671,0.07894666,0.07894671,0.07894671,0.07894671,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
